#Temps	EA1

-1.08E-5	4.99064606335014
-1.04E-5	4.98565591685474
-1E-5	4.98565591685474
-9.6E-6	4.98565591685474
-9.2E-6	4.98565591685474
-8.8E-6	4.99064606335014
-8.4E-6	4.97068547736853
-8E-6	4.92078401241452
-7.6E-6	4.86090225446969
-7.2E-6	4.77606976404786
-6.8E-6	4.65630624815822
-6.4E-6	4.50161170680076
-6E-6	4.31198613997549
-5.6E-6	4.09241969417781
-5.2E-6	3.84291236940771
-4.8E-6	3.57344445865601
-4.4E-6	3.2740356689319
-4E-6	2.95466629322618
-3.6E-6	2.61533633153886
-3.2E-6	2.26602607686073
-2.8E-6	1.90174538269639
-2.4E-6	1.52748439554125
-2E-6	1.14823326189071
-1.6E-6	0.763991981744766
-1.2E-6	0.379750701598823
-8E-7	0.000499567948281765
-4E-7	-0.373761419206858
0	-0.738042113371193
4E-7	-1.09733266104013
8E-7	-1.43666262272745
1.2E-6	-1.76102214492857
1.6E-6	-2.07041122764349
2E-6	-2.3598397243768
2.4E-6	-2.6243174886331
2.8E-6	-2.86384452041239
3.2E-6	-3.08341096621007
3.6E-6	-3.27303653303534
4E-6	-3.4327212208882
4.4E-6	-3.56745517626405
4.8E-6	-3.67224825266749
5.2E-6	-3.74710045009851
5.6E-6	-3.79700191505253
6E-6	-3.80698220804334
6.4E-6	-3.80698220804334
6.8E-6	-3.76706103608012
7.2E-6	-3.7021891316399
7.6E-6	-3.60737634822726
8E-6	-3.48761283233762
8.4E-6	-3.34289858397096
8.8E-6	-3.1782237496227
9.2E-6	-2.98859818279743
9.6E-6	-2.78400217648596
1E-5	-2.55445543769747
1.04E-5	-2.31991855241358
1.08E-5	-2.06043093465269
1.12E-5	-1.79096302390099
1.16E-5	-1.52149511314929
1.2E-5	-1.23705676291138
1.24E-5	-0.947628266178072
1.28E-5	-0.658199769444764
1.32E-5	-0.363781126216054
1.36E-5	-0.0743526294827461
1.4E-5	0.21008572075516
1.44E-5	0.489533924497664
1.48E-5	0.763991981744766
1.52E-5	1.02347959950566
1.56E-5	1.27298692427576
1.6E-5	1.51251395605505
1.64E-5	1.73208040185273
1.68E-5	1.9366764081642
1.72E-5	2.12131182849407
1.76E-5	2.29097680933774
1.8E-5	2.44068120419979
1.84E-5	2.56044472008944
1.88E-5	2.67022794298828
1.92E-5	2.75007028691471
1.96E-5	2.80995204485953
2E-5	2.85486336331815
2.04E-5	2.86484365630895
2.08E-5	2.85985350981355
2.12E-5	2.82991263084114
2.16E-5	2.78500131238252
2.2E-5	2.71513926144689
2.24E-5	2.62531662452966
2.28E-5	2.51553340163082
2.32E-5	2.39576988574117
2.36E-5	2.25105563737452
2.4E-5	2.09636109601706
2.44E-5	1.9266961151734
2.48E-5	1.74206069484353
2.52E-5	1.55243512801826
2.56E-5	1.35282926820219
2.6E-5	1.14324311539531
2.64E-5	0.933656962588429
2.68E-5	0.709100370295346
2.72E-5	0.494524070993066
2.76E-5	0.274957625195384
2.8E-5	0.0553911793977022
2.84E-5	-0.159185119904578
2.88E-5	-0.368771272711456
2.92E-5	-0.573367279022932
2.96E-5	-0.767982992343605
3E-5	-0.952618412673473
3.04E-5	-1.13226368650794
3.08E-5	-1.2969385208562
3.12E-5	-1.45662320870906
3.16E-5	-1.59135716408491
3.2E-5	-1.72110097296536
3.24E-5	-1.8308841958642
3.28E-5	-1.92569697927684
3.32E-5	-2.00553932320327
3.36E-5	-2.07041122764349
3.4E-5	-2.11532254610211
3.44E-5	-2.14526342507452
3.48E-5	-2.15524371806532
3.52E-5	-2.15524371806532
3.56E-5	-2.13528313208371
3.6E-5	-2.0953619601205
3.64E-5	-2.05045064166188
3.68E-5	-1.98058859072626
3.72E-5	-1.90074624679983
3.76E-5	-1.81092360988259
3.8E-5	-1.70613053347915
3.84E-5	-1.58636701758951
3.88E-5	-1.46161335520446
3.92E-5	-1.32687939982861
3.96E-5	-1.18216515146196
4E-5	-1.0324607565999
4.04E-5	-0.877766215242445
4.08E-5	-0.718081527389586
4.12E-5	-0.553406693041325
4.16E-5	-0.388731858693063
4.2E-5	-0.224057024344802
4.24E-5	-0.0593821899965405
4.28E-5	0.100302497856319
4.32E-5	0.259987185709178
4.36E-5	0.414681727066636
4.4E-5	0.564386121928692
4.44E-5	0.714090516790748
4.48E-5	0.838844179175794
4.52E-5	0.968587988056242
4.56E-5	1.08835150394589
4.6E-5	1.19314458034933
4.64E-5	1.28795736376196
4.68E-5	1.37278985418379
4.72E-5	1.44764205161482
4.76E-5	1.50752380955964
4.8E-5	1.55742527451366
4.84E-5	1.59235629998147
4.88E-5	1.61730703245848
4.92E-5	1.62728732544929
4.96E-5	1.62229717895389
5E-5	1.60732673946768
5.04E-5	1.58237600699067
5.08E-5	1.54245483502746
5.12E-5	1.49255337007344
5.16E-5	1.43766175862402
5.2E-5	1.36779970768839
5.24E-5	1.28795736376196
5.28E-5	1.19813472684473
5.32E-5	1.10831208992749
5.36E-5	1.00351901352406
5.4E-5	0.893735790625215
5.44E-5	0.783952567726374
5.48E-5	0.664189051836729
5.52E-5	0.544425535947084
5.56E-5	0.42466202005744
5.6E-5	0.294918211176991
5.64E-5	0.175154695287347
5.68E-5	0.0504010329023004
5.72E-5	-0.0743526294827461
5.76E-5	-0.189125998876989
5.8E-5	-0.308889514766634
5.84E-5	-0.423662884160876
5.88E-5	-0.528455960564315
5.92E-5	-0.628258890472353
5.96E-5	-0.723071673884988
6E-5	-0.812894310802221
6.04E-5	-0.892736654728651
6.08E-5	-0.967588852159679
6.12E-5	-1.0324607565999
6.16E-5	-1.08236222155392
6.2E-5	-1.13226368650794
6.24E-5	-1.16719471197575
6.28E-5	-1.19713559094816
6.32E-5	-1.21210603043437
6.36E-5	-1.22208632342517
6.4E-5	-1.22208632342517
6.44E-5	-1.21210603043437
6.48E-5	-1.18715529795736
6.52E-5	-1.16719471197575
6.56E-5	-1.12727354001254
6.6E-5	-1.08236222155392
6.64E-5	-1.0324607565999
6.68E-5	-0.972578998655081
6.72E-5	-0.912697240710258
6.76E-5	-0.837845043279231
6.8E-5	-0.762992845848203
